Order ID,Order Date,Region,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1000,2023-10-09,East,Home Office,Office Supplies,Binders,Binders Item 9,755.33,4,0.0,279.8
ORD-1001,2024-03-08,East,Home Office,Office Supplies,Binders,Binders Item 6,1466.67,1,0.0,233.49
ORD-1002,2023-07-23,East,Home Office,Furniture,Tables,Tables Item 15,320.48,9,0.2,-34.1
ORD-1003,2024-12-15,East,Consumer,Technology,Machines,Machines Item 18,125.59,7,0.1,40.15
ORD-1004,2023-04-05,Central,Consumer,Furniture,Tables,Tables Item 23,1206.22,7,0.0,271.21
ORD-1005,2024-04-15,East,Home Office,Technology,Machines,Machines Item 25,50.96,9,0.0,19.46
ORD-1006,2023-07-16,Central,Home Office,Furniture,Bookcases,Bookcases Item 43,1666.56,2,0.0,-120.99
ORD-1007,2023-04-14,East,Consumer,Furniture,Bookcases,Bookcases Item 30,371.83,7,0.1,-33.45
ORD-1008,2023-12-30,West,Corporate,Office Supplies,Storage,Storage Item 45,615.44,4,0.1,70.69
ORD-1009,2023-09-08,West,Home Office,Office Supplies,Binders,Binders Item 25,869.57,3,0.2,-21.97
ORD-1010,2023-08-23,Central,Consumer,Technology,Accessories,Accessories Item 26,1227.59,1,0.1,-142.77
ORD-1011,2023-11-19,West,Home Office,Technology,Phones,Phones Item 26,591.37,4,0.2,11.72
ORD-1012,2023-05-23,West,Corporate,Office Supplies,Art,Art Item 35,917.58,4,0.3,248.76
ORD-1013,2023-08-13,South,Corporate,Technology,Copiers,Copiers Item 32,407.35,3,0.3,44.21
ORD-1014,2024-10-04,East,Consumer,Furniture,Chairs,Chairs Item 39,1188.9,3,0.2,-204.65
ORD-1015,2024-04-24,South,Home Office,Furniture,Furnishings,Furnishings Item 36,1219.01,9,0.1,-119.08
ORD-1016,2023-12-15,Central,Home Office,Furniture,Chairs,Chairs Item 28,139.45,2,0.1,51.5
ORD-1017,2023-09-27,East,Home Office,Furniture,Furnishings,Furnishings Item 33,1931.61,9,0.0,550.58
ORD-1018,2024-01-18,West,Consumer,Furniture,Bookcases,Bookcases Item 50,616.18,3,0.3,-87.13
ORD-1019,2023-01-20,Central,Corporate,Office Supplies,Binders,Binders Item 20,1371.62,2,0.1,87.91
ORD-1020,2023-03-22,West,Home Office,Furniture,Chairs,Chairs Item 5,252.86,2,0.2,
ORD-1021,2024-05-01,West,Home Office,Office Supplies,Paper,Paper Item 17,78.43,9,0.0,27.1
ORD-1022,2024-12-07,West,Home Office,Office Supplies,Art,Art Item 26,524.97,4,0.1,103.69
